"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"qdap","qdap","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.4.3",NA,"R (>= 3.1.0), qdapDictionaries (>= 1.0.2), qdapRegex (>=
0.1.2), qdapTools (>= 1.3.1), RColorBrewer","chron, dplyr (>= 0.3), gender (>= 0.5.1), ggplot2 (>= 2.1.0),
grid, gridExtra, igraph, methods, NLP, openNLP (>= 0.2-1),
openxlsx, parallel, plotrix, RCurl, reshape2, scales,
stringdist, tidyr, tm (>= 0.7.6), tools, utils, venneuler,
wordcloud, XML",NA,"koRpus, knitr, lda, proxy, stringi, SnowballC, testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"qdapDictionaries","qdapDictionaries","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0.7",NA,"R (>= 3.0.0)","methods, utils",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.0"
"qdapRegex","qdapRegex","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.7.2",NA,"R (>= 3.1.0)","stringi (>= 0.5-5)",NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.0"
"qdapTools","qdapTools","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.3.5",NA,"R (>= 3.0.0)","chron, data.table (>= 1.9.6), methods, RCurl, XML",NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.0"
"qgam","qgam","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.3.2",NA,"R (>= 3.5.0), mgcv (>= 1.8-28)","shiny, plyr, doParallel, parallel, grDevices",NA,"knitr, MASS, RhpcBLASctl, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.0"
"qgraph","qgraph","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.6.9",NA,"R (>= 3.0.0)","Rcpp (>= 1.0.0), methods, grDevices, psych, lavaan, plyr,
Hmisc, igraph, jpeg, png, colorspace, Matrix, corpcor,
reshape2, ggplot2, glasso, fdrtool, gtools, parallel, pbapply,
abind, dplyr","Rcpp","BDgraph, huge",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.2"
"qicharts","qicharts","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.5.5",NA,"R (>= 3.0.0)","lattice, latticeExtra, graphics, grDevices, stats, scales,
ggplot2 (>= 2.0.0),",NA,"knitr",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.0"
"qqplotr","qqplotr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.0.4",NA,"R (>= 3.1), ggplot2 (>= 2.2)","dplyr, robustbase, knitr, MASS",NA,"shiny, devtools, lattice, shinyBS",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"qrnn","qrnn","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.0.5",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.0"
"quadprog","quadprog","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.5-8",NA,"R (>= 3.1.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.0"
"quantmod","quantmod","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.4.18",NA,"R (>= 3.2.0), xts(>= 0.9-0), zoo, TTR(>= 0.2), methods","curl",NA,"DBI,RMySQL,RSQLite,timeSeries,xml2,downloader,jsonlite(>=
1.1)",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"quantreg","quantreg","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","5.85",NA,"R (>= 2.6), stats, SparseM","methods, graphics, Matrix, MatrixModels, conquer",NA,"tripack, akima, MASS, survival, rgl, logspline, nor1mix,
Formula, zoo, R.rsp",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"R.cache","R.cache","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.14.0",NA,"R (>= 2.14.0)","utils, R.methodsS3 (>= 1.7.1), R.oo (>= 1.23.0), R.utils (>=
2.8.0), digest (>= 0.6.13)",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.0.0"
"R.methodsS3","R.methodsS3","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.8.1",NA,"R (>= 2.13.0)","utils",NA,"codetools",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.0.2"
"R.oo","R.oo","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.24.0",NA,"R (>= 2.13.0), R.methodsS3 (>= 1.8.0)","methods, utils",NA,"tools",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.0.2"
"R.utils","R.utils","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.10.1",NA,"R (>= 2.14.0), R.oo (>= 1.23.0)","methods, utils, tools, R.methodsS3 (>= 1.8.0)",NA,"digest (>= 0.6.10)",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.0.2"
"R6","R6","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.5.1",NA,"R (>= 3.0)",NA,NA,"testthat, pryr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"ralger","ralger","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.2.4",NA,NA,"rvest, xml2, tidyr, dplyr, stringr, robotstxt, crayon, curl,
stringi",NA,"knitr, testthat, rmarkdown, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"randomForest","randomForest","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","4.6-14",NA,"R (>= 3.2.2), stats",NA,NA,"RColorBrewer, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.0"
"RApiDatetime","RApiDatetime","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.0.4",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.0"
"rappdirs","rappdirs","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.3.3",NA,"R (>= 3.2)",NA,NA,"roxygen2, testthat (>= 3.0.0), covr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"rapportools","rapportools","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0",NA,"reshape","plyr, pander",NA,NA,NA,"AGPL-3",NA,NA,NA,NA,"no","4.0.2"
"raster","raster","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","3.4-5",NA,"sp (>= 1.4.1), R (>= 3.5.0)","Rcpp, methods","Rcpp","rgdal (>= 1.5-8), rgeos (>= 0.3-8), ncdf4, igraph, tcltk,
parallel, rasterVis, MASS, sf, tinytest, gstat, fields",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.0.2"
"rcmdcheck","rcmdcheck","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.3.3",NA,NA,"callr (>= 3.1.1.9000), cli (>= 1.1.0), crayon, desc (>=
1.2.0), digest, pkgbuild, prettyunits, R6, rprojroot,
sessioninfo (>= 1.1.1), utils, withr, xopen",NA,"covr, knitr, mockery, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"RColorBrewer","RColorBrewer","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.1-3",NA,"R (>= 2.0.0)",NA,NA,NA,NA,"Apache License 2.0",NA,NA,NA,NA,"no","4.0.5"
"rcorpora","rcorpora","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.0.0",NA,NA,"jsonlite",NA,NA,NA,"CC0",NA,NA,NA,NA,"no","4.0.0"
"Rcpp","Rcpp","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0.8.3",NA,NA,"methods, utils",NA,"tinytest, inline, rbenchmark, pkgKitten (>= 0.1.2)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"RcppArmadillo","RcppArmadillo","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.10.5.0.0",NA,"R (>= 3.3.0)","Rcpp (>= 0.11.0), stats, utils, methods","Rcpp","tinytest, Matrix (>= 1.3.0), pkgKitten, reticulate, slam",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"RcppEigen","RcppEigen","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.3.3.9.2",NA,NA,"Matrix (>= 1.1-0), Rcpp (>= 0.11.0), stats, utils","Rcpp","inline, tinytest, pkgKitten, microbenchmark",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"RcppParallel","RcppParallel","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","5.1.4",NA,"R (>= 3.0.2)",NA,NA,"Rcpp, RUnit, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"RcppProgress","RcppProgress","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.4.2",NA,NA,NA,NA,"RcppArmadillo, devtools, roxygen2, testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.0"
"RcppRoll","RcppRoll","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.3.0",NA,"R (>= 2.15.1)","Rcpp","Rcpp","zoo, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.0"
"RcppTOML","RcppTOML","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1.7",NA,"R (>= 3.3.0)","Rcpp (>= 0.11.5)","Rcpp","tinytest",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"RCurl","RCurl","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.98-1.3",NA,"R (>= 3.4.0), methods","bitops",NA,"XML",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"readr","readr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.0.0",NA,"R (>= 3.1)","cli, clipr, crayon, hms (>= 0.4.1), methods, rlang, R6,
tibble, vroom (>= 1.5.2), utils, lifecycle (>= 0.2.0)","cpp11, tzdb (>= 0.1.1)","covr, curl, dplyr, knitr, rmarkdown, spelling, stringi,
testthat, tzdb (>= 0.1.1), withr, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"readtextgrid","readtextgrid","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1.1",NA,NA,"magrittr, stats, utils, tibble, purrr, readr, stringr, plyr",NA,"testthat (>= 2.1.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.0"
"readxl","readxl","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.3.1",NA,NA,"cellranger, Rcpp (>= 0.12.18), tibble (>= 1.3.1), utils","progress, Rcpp","covr, knitr, rmarkdown, rprojroot (>= 1.1), testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.0"
"recipes","recipes","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1.15",NA,"R (>= 3.1), dplyr","generics (>= 0.1.0), glue, gower, ipred, lifecycle, lubridate,
magrittr, Matrix, purrr (>= 0.2.3), rlang (>= 0.4.0), stats,
tibble, tidyr (>= 1.0.0), tidyselect (>= 1.1.0), timeDate,
utils, withr",NA,"covr, ddalpha, dimRed (>= 0.2.2), fastICA, ggplot2, igraph,
kernlab, knitr, modeldata, RANN, RcppRoll, rmarkdown, rpart,
rsample, RSpectra, testthat (>= 2.1.0), xml2",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"redoc","redoc","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.0.0.49",NA,NA,"jsonlite",NA,"plumber (>= 1.0)",NA,"MIT + file LICENSE | Apache License 2.0",NA,NA,NA,NA,"no","4.0.2"
"registry","registry","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.5-1",NA,"R (>= 2.6.0)","utils",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.0"
"rematch","rematch","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0.1",NA,NA,NA,NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"rematch2","rematch2","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.1.2",NA,NA,"tibble",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"remedy","remedy","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1.0",NA,NA,"knitr, rstudioapi, rematch2, utils, stats",NA,"testthat, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"remotes","remotes","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.2.0",NA,"R (>= 3.0.0)","methods, stats, tools, utils",NA,"brew, callr, codetools, curl, covr, git2r (>= 0.23.0), knitr,
mockery, pkgbuild (>= 1.0.1), pingr, rmarkdown, rprojroot,
testthat, withr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"renv","renv","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.13.2",NA,NA,"utils",NA,"R6, BiocManager, cli, covr, devtools, knitr, packrat,
remotes, reticulate, rmarkdown, rstudioapi, testthat, uuid,
yaml",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"reprex","reprex","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.0.0",NA,"R (>= 3.3)","callr (>= 3.6.0), cli (>= 2.3.1), clipr (>= 0.4.0), fs, glue,
knitr (>= 1.23), rlang (>= 0.4.0), rmarkdown, rstudioapi,
utils, withr (>= 2.3.0)",NA,"covr, fortunes, miniUI, mockr, rprojroot, sessioninfo, shiny,
spelling, styler (>= 1.2.0), testthat (>= 3.0.2)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"reshape","reshape","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.8.8",NA,"R (>= 2.6.1)","plyr",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"reshape2","reshape2","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.4.4",NA,"R (>= 3.1)","plyr (>= 1.8.1), Rcpp, stringr","Rcpp","covr, lattice, testthat (>= 0.8.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.0"
"reticulate","reticulate","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.18",NA,"R (>= 3.0)","graphics, jsonlite, Matrix, methods, rappdirs, Rcpp (>=
0.12.7), utils","Rcpp","callr, knitr, rmarkdown, testthat",NA,"Apache License 2.0",NA,NA,NA,NA,"yes","4.0.2"
"rex","rex","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.2.0",NA,NA,"lazyeval",NA,"testthat, knitr, rmarkdown, dplyr, ggplot2, magrittr, Hmisc,
stringr, rvest, roxygen2, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"rgl","rgl","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.105.22",NA,"R (>= 3.3.0)","graphics, grDevices, stats, utils, htmlwidgets, htmltools,
knitr, jsonlite (>= 0.9.20), shiny, magrittr, crosstalk,
manipulateWidget (>= 0.9.0)",NA,"MASS, rmarkdown, deldir, orientlib, lattice, misc3d,
rstudioapi, magick, plotrix (>= 3.7-3), tripack, interp,
alphashape3d, tcltk, js (>= 1.2), akima, webshot2",NA,"GPL",NA,NA,NA,NA,"yes","4.0.2"
"RgoogleMaps","RgoogleMaps","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.4.5.3",NA,"R (>= 2.10)","graphics, stats, utils, grDevices, methods, png,sp",NA,"PBSmapping, maptools, loa, RColorBrewer, leaflet,jpeg, RCurl",NA,"GPL",NA,NA,NA,NA,"no","4.0.0"
"rhandsontable","rhandsontable","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.3.7",NA,NA,"jsonlite, htmlwidgets (>= 0.3.3), magrittr, methods",NA,"knitr, rmarkdown, shiny (>= 0.13), miniUI (>= 0.1.1),
rstudioapi (>= 0.6), htmltools",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"rio","rio","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.5.26",NA,"R (>= 2.15.0)","tools, stats, utils, foreign, haven (>= 1.1.2), curl (>= 0.6),
data.table (>= 1.9.8), readxl (>= 0.1.1), openxlsx, tibble",NA,"datasets, bit64, testthat, knitr, magrittr, arrow, clipr,
feather, fst, hexView, jsonlite, pzfx, readODS (>= 1.6.4),
readr, rmarkdown, rmatio, xml2 (>= 1.2.0), yaml",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"rjags","rjags","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","4-10",NA,"R (>= 2.14.0), coda (>= 0.13)",NA,NA,"tcltk",NA,"GPL (== 2)",NA,NA,NA,NA,"yes","4.0.0"
"rjasa","rjasa","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1.1",NA,NA,"rmarkdown, knitr, yaml",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.0.3"
"rJava","rJava","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.9-13",NA,"R (>= 2.5.0), methods",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.2"
"rjson","rjson","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.2.20",NA,"R (>= 3.1.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.0"
"rlang","rlang","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0.2",NA,"R (>= 3.4.0)","utils",NA,"cli (>= 3.1.0), covr, crayon, fs, glue, knitr, magrittr,
methods, pillar, rmarkdown, stats, testthat (>= 3.0.0), tibble,
usethis, vctrs (>= 0.2.3), withr","winch","MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"RLRsim","RLRsim","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","3.1-6",NA,"R (>= 2.14.0)","Rcpp (>= 0.11.1), lme4 (>= 1.1), mgcv, nlme","Rcpp",NA,"SemiPar, lmerTest","GPL",NA,NA,NA,NA,"yes","4.0.0"
"rmarkdown","rmarkdown","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.14",NA,"R (>= 3.0)","bslib (>= 0.2.5.1), evaluate (>= 0.13), htmltools (>= 0.3.5),
jquerylib, jsonlite, knitr (>= 1.22), methods, stringr (>=
1.2.0), tinytex (>= 0.31), tools, utils, xfun (>= 0.30), yaml
(>= 2.1.19)",NA,"digest, dygraphs, fs, rsconnect, downlit (>= 0.4.0), katex
(>= 1.4.0), sass (>= 0.4.0), shiny (>= 1.6.0), testthat (>=
3.0.3), tibble, tufte, vctrs, withr (>= 2.4.2)",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.3"
"rmcorr","rmcorr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.4.5",NA,"R (>= 3.2.1)","stats, grDevices, graphics, psych, RColorBrewer",NA,"knitr, rmarkdown, plotrix, ggplot2, lme4, merTools, pwr,
AICcmodavg, pals, testthat (>= 3.0.0)",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"rmdfiltr","rmdfiltr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1.3",NA,NA,"assertthat (>= 0.2.1), utils, rmarkdown (>= 1.12)",NA,"dplyr (>= 0.8.0.1), ggplot2 (>= 3.0.0), knitr (>= 1.22),
spelling (>= 2.1), testthat (>= 2.0.0), tibble (>= 2.1.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"Rmisc","Rmisc","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.5",NA,"lattice, plyr",NA,NA,"latticeExtra, Hmisc, stats4",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.0"
"Rmpfr","Rmpfr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.8-3",NA,"gmp (>= 0.6-1), R (>= 3.5.0)","stats, utils, methods",NA,"MASS, Bessel, polynom, sfsmisc (>= 1.0-20), Matrix","dfoptim, pracma","GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"rms","rms","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","6.2-0",NA,"R (>= 3.5.0), Hmisc (>= 4.3-0), survival (>= 3.1-12), lattice,
ggplot2 (>= 2.2), SparseM","methods, quantreg, rpart, nlme (>= 3.1-123), polspline,
multcomp, htmlTable (>= 1.11.0), htmltools, MASS, cluster,
digest",NA,"boot, tcltk, plotly (>= 4.5.6), knitr, mice, rmsb",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"rngtools","rngtools","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.5",NA,"R (>= 3.2.0), methods","digest, utils, stats, parallel",NA,"covr, RUnit, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"robotstxt","robotstxt","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.7.13",NA,"R (>= 3.0.0)","stringr (>= 1.0.0), httr (>= 1.0.0), spiderbar (>= 0.2.0),
future (>= 1.6.2), future.apply (>= 1.0.0), magrittr, utils",NA,"knitr, rmarkdown, dplyr, testthat, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"robustbase","robustbase","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.93-7",NA,"R (>= 3.1.0)","stats, graphics, utils, methods, DEoptimR",NA,"grid, MASS, lattice, boot, cluster, Matrix, robust,
fit.models, MPV, xtable, ggplot2, GGally, RColorBrewer,
reshape2, sfsmisc, catdata, doParallel, foreach, skewt","robustX, rrcov, matrixStats, quantreg, Hmisc","GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"robustlmm","robustlmm","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.4-3",NA,"lme4 (>= 1.1-9), Matrix (>= 1.0-13), R (>= 3.2.0)","ggplot2, lattice, nlme, methods, robustbase (>= 0.93), xtable,
Rcpp (>= 0.12.2), fastGHQuad","Rcpp, RcppEigen, robustbase, cubature (> 1.3-8)","digest, reshape2, microbenchmark, emmeans (>= 1.4),
estimability",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.2"
"ROI","ROI","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0-0",NA,"R (>= 2.10)","methods, registry (>= 0.5), slam, utils",NA,"numDeriv",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"rootSolve","rootSolve","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.8.2.1",NA,"R (>= 2.01)","stats, graphics, grDevices",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"roxygen2","roxygen2","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","7.1.1",NA,"R (>= 3.2)","brew, commonmark, desc (>= 1.2.0), digest, knitr, methods,
pkgload (>= 1.0.2), purrr (>= 0.3.3), R6 (>= 2.1.2), Rcpp (>=
0.11.0), rlang, stringi, stringr (>= 1.0.0), utils, xml2","Rcpp","covr, devtools, rmarkdown, testthat (>= 2.1.0), R.methodsS3,
R.oo",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"rpart","rpart","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","4.1-15","recommended","R (>= 2.15.0), graphics, stats, grDevices",NA,NA,"survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.3"
"rpart.plot","rpart.plot","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","3.0.9",NA,"R (>= 3.4.0), rpart (>= 4.1-15)",NA,NA,"earth (>= 5.1.2)",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"rpf","rpf","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0.5",NA,"methods, parallel, R (>= 2.14.0)","Rcpp (>= 1.0.2), mvtnorm, lifecycle","Rcpp, RcppEigen","testthat, roxygen2, ggplot2, reshape2, gridExtra, numDeriv,
knitr, mirt, markdown",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.0.2"
"rPraat","rPraat","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.3.2-1",NA,"R (>= 3.4.0)","graphics (>= 3.1.0), dplyr (>= 0.8.5), stringr (>= 1.4.0),
readr(>= 1.3.1), dygraphs (>= 1.1.1.6), tuneR (>= 1.3.3)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"rprojroot","rprojroot","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.0.3",NA,"R (>= 3.0.0)",NA,NA,"covr, knitr, lifecycle, mockr, rmarkdown, testthat (>=
3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"rsconnect","rsconnect","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.8.18",NA,"R (>= 3.0.0)","curl, digest, jsonlite, openssl, packrat (>= 0.6), rstudioapi
(>= 0.5), yaml (>= 2.1.5)",NA,"RCurl, callr, httpuv, knitr, plumber (>= 0.3.2), reticulate,
rmarkdown (>= 1.1), shiny, sourcetools, testthat, xtable",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"RSQLite","RSQLite","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.2.5",NA,"R (>= 3.1.0)","bit64, blob (>= 1.2.0), DBI (>= 1.1.0), memoise, methods,
pkgconfig, Rcpp (>= 0.12.7)","BH (>= 1.75.0-0), plogr (>= 0.2.0), Rcpp","DBItest (>= 1.7.0), gert, gh, knitr, rmarkdown, hms, rvest,
testthat, xml2",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"yes","4.0.2"
"rstan","rstan","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.21.2",NA,"R (>= 3.4.0), StanHeaders (>= 2.21.0), ggplot2 (>= 3.0.0)","methods, stats4, inline, gridExtra (>= 2.0.0), Rcpp (>=
0.12.0), RcppParallel (>= 5.0.1), loo (>= 2.3.0), pkgbuild,
withr, V8","Rcpp (>= 0.12.0), RcppEigen (>= 0.3.3.3.0), BH (>=
1.72.0-2), StanHeaders (>= 2.21.0), RcppParallel","RUnit, RcppEigen (>= 0.3.3.3.0), BH (>= 1.72.0-2), parallel,
KernSmooth, shinystan (>= 2.3.0), bayesplot (>= 1.5.0),
rmarkdown, rstantools, rstudioapi, Matrix, knitr (>= 1.15.1)",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.0.3"
"rstanarm","rstanarm","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.21.1",NA,"R (>= 3.4.0), Rcpp (>= 0.12.0), methods","bayesplot (>= 1.7.0), ggplot2 (>= 2.2.1), lme4 (>= 1.1-8), loo
(>= 2.1.0), Matrix (>= 1.2-13), nlme (>= 3.1-124), rstan (>=
2.21.1), rstantools (>= 2.1.0), shinystan (>= 2.3.0), stats,
survival (>= 2.40.1), RcppParallel (>= 5.0.1), utils","StanHeaders (>= 2.21.0), rstan (>= 2.21.1), BH (>=
1.72.0-2), Rcpp (>= 0.12.0), RcppEigen (>= 0.3.3.3.0),
RcppParallel (>= 5.0.1)","betareg, data.table (>= 1.10.0), digest, gridExtra, HSAUR3,
knitr (>= 1.15.1), MASS, mgcv (>= 1.8-13), rmarkdown, roxygen2,
StanHeaders (>= 2.21.0), testthat (>= 1.0.2)",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.0.2"
